Path,Size
/pub2/ndp026b/MAY84L.DAT.Z,17335259
/pub2/ndp026b/MAY84O.DAT.Z,2117233
/pub2/ndp026b/MAY85L.DAT.Z,17551469
/pub2/ndp026b/MAY85O.DAT.Z,1752611
/pub2/ndp026b/MAY86L.DAT.Z,17612178
/pub2/ndp026b/MAY86O.DAT.Z,1909572
/pub2/ndp026b/MAY87L.DAT.Z,17061823
/pub2/ndp026b/MAY87O.DAT.Z,1853255
/pub2/ndp026b/MAY88L.DAT.Z,17982981
/pub2/ndp026b/MAY88O.DAT.Z,2028950
/pub2/ndp026b/MAY89L.DAT.Z,17759912
/pub2/ndp026b/MAY89O.DAT.Z,1631867
/pub2/ndp026b/MAY90L.DAT.Z,17626697
/pub2/ndp026b/MAY90O.DAT.Z,1667929
/pub2/ndp026b/MAY91L.DAT.Z,17184997
/pub2/ndp026b/MAY91O.DAT.Z,1621021
/pub2/ndp026b/NOV82L.DAT.Z,16390503
/pub2/ndp026b/NOV82O.DAT.Z,1769473
/pub2/ndp026b/NOV83L.DAT.Z,16344973
/pub2/ndp026b/NOV83O.DAT.Z,2034554
/pub2/ndp026b/NOV84L.DAT.Z,16612699
/pub2/ndp026b/NOV84O.DAT.Z,1861501
/pub2/ndp026b/NOV85L.DAT.Z,17274917
/pub2/ndp026b/NOV85O.DAT.Z,1666383
/pub2/ndp026b/NOV86L.DAT.Z,15484154
/pub2/ndp026b/NOV86O.DAT.Z,1375497
/pub2/ndp026b/NOV87L.DAT.Z,17420733
/pub2/ndp026b/NOV87O.DAT.Z,1666601
/pub2/ndp026b/NOV88L.DAT.Z,17269985
/pub2/ndp026b/NOV88O.DAT.Z,1605335
/pub2/ndp026b/NOV89L.DAT.Z,17204221
/pub2/ndp026b/NOV89O.DAT.Z,1505858
/pub2/ndp026b/NOV90L.DAT.Z,17010949
/pub2/ndp026b/NOV90O.DAT.Z,1456601
/pub2/ndp026b/NOV91L.DAT.Z,15506733
/pub2/ndp026b/NOV91O.DAT.Z,1252767
/pub2/ndp026b/OCT82L.DAT.Z,17048471
/pub2/ndp026b/OCT82O.DAT.Z,1901555
/pub2/ndp026b/OCT83L.DAT.Z,16812761
/pub2/ndp026b/OCT83O.DAT.Z,2100267
/pub2/ndp026b/OCT84L.DAT.Z,17395011
/pub2/ndp026b/OCT84O.DAT.Z,1971893
/pub2/ndp026b/OCT85L.DAT.Z,17415019
/pub2/ndp026b/OCT85O.DAT.Z,1738119
/pub2/ndp026b/OCT86L.DAT.Z,17272215
/pub2/ndp026b/OCT86O.DAT.Z,1707615
/pub2/ndp026b/OCT87L.DAT.Z,16873471
/pub2/ndp026b/OCT87O.DAT.Z,1671778
/pub2/ndp026b/OCT88L.DAT.Z,17874773
/pub2/ndp026b/OCT88O.DAT.Z,1831633
/pub2/ndp026b/OCT89L.DAT.Z,17782713
/pub2/ndp026b/OCT89O.DAT.Z,1575011
/pub2/ndp026b/OCT90L.DAT.Z,17460620
/pub2/ndp026b/OCT90O.DAT.Z,1520215
/pub2/ndp026b/OCT91L.DAT.Z,16328762
/pub2/ndp026b/OCT91O.DAT.Z,1468981
/pub2/ndp026b/README,139
/pub2/ndp026b/SEP82L.DAT.Z,16263063
/pub2/ndp026b/SEP82O.DAT.Z,1793269
/pub2/ndp026b/SEP83L.DAT.Z,16476869
/pub2/ndp026b/SEP83O.DAT.Z,1988509
/pub2/ndp026b/SEP84L.DAT.Z,16862384
/pub2/ndp026b/SEP84O.DAT.Z,1903491
/pub2/ndp026b/SEP85L.DAT.Z,16549965
/pub2/ndp026b/SEP85O.DAT.Z,1668165
/pub2/ndp026b/SEP86L.DAT.Z,16867154
/pub2/ndp026b/SEP86O.DAT.Z,1682689
/pub2/ndp026b/SEP87L.DAT.Z,17425225
/pub2/ndp026b/SEP87O.DAT.Z,1729685
/pub2/ndp026b/SEP88L.DAT.Z,17233691
/pub2/ndp026b/SEP88O.DAT.Z,1807669
/pub2/ndp026b/SEP89L.DAT.Z,17058837
/pub2/ndp026b/SEP89O.DAT.Z,1587491
/pub2/ndp026b/SEP90L.DAT.Z,16748436
/pub2/ndp026b/SEP90O.DAT.Z,1511773
/pub2/ndp026b/SEP91L.DAT.Z,15966646
